;f0;f1;f2;d1;d0;e1;e0;a1;a0
s0;s0/00;s1/11;s2/00;s3/10;s0/00;s6/10;s0/00;s12/00;s0/00
s1;s0/00;s1/11;s2/00;s4/10;s1/11;s7/10;s1/11;s13/11;s1/11
s2;s0/00;s1/11;s2/00;s5/10;s2/00;s8/10;s2/00;s14/11;s2/00
s3;s3/10;s4/10;s5/10;s3/10;s0/00;s9/10;s3/10;s15/10;s3/10
s4;s3/10;s4/10;s5/10;s4/10;s1/11;s11/10;s4/10;s16/10;s4/10
s5;s3/10;s4/10;s5/10;s5/10;s2/00;s11/10;s5/10;s17/10;s5/10
s6;s6/10;s7/10;s8/10;s9/10;s6/10;s6/10;s0/00;s18/10;s6/10
s7;s6/10;s7/10;s8/10;s10/10;s7/10;s7/10;s1/11;s19/10;s7/10
s8;s6/10;s7/10;s8/10;s11/10;s8/10;s8/10;s2/00;s20/10;s8/10
s9;s9/10;s10/10;s11/10;s9/10;s6/10;s9/10;s3/10;s21/10;s9/10
s10;s9/10;s10/10;s11/10;s10/10;s7/10;s10/10;s4/10;s22/10;s10/10
s11;s9/10;s10/10;s11/10;s11/10;s8/10;s11/10;s5/10;s23/10;s11/10
s12;s12/00;s13/11;s14/11;s15/10;s12/00;s18/10;s12/00;s12/00;s0/00
s13;s12/00;s13/11;s14/11;s16/10;s13/11;s19/10;s13/11;s13/11;s1/11
s14;s12/00;s13/11;s14/11;s17/10;s14/11;s20/10;s14/11;s14/11;s2/00
s15;s15/10;s16/10;s17/10;s15/10;s12/00;s21/10;s15/10;s15/10;s3/10
s16;s15/10;s16/10;s17/10;s16/10;s13/11;s22/10;s16/10;s16/10;s4/10
s17;s15/10;s16/10;s17/10;s17/10;s14/11;s23/10;s17/10;s17/10;s5/10
s18;s18/10;s19/10;s20/10;s21/10;s18/10;s18/10;s12/00;s18/10;s6/10
s19;s18/10;s19/10;s20/10;s22/10;s19/10;s19/10;s13/11;s19/10;s7/10
s20;s18/10;s19/10;s20/10;s23/10;s20/10;s20/10;s14/11;s20/10;s8/10
s21;s21/10;s22/10;s23/10;s21/10;s18/10;s21/10;s15/10;s21/10;s9/10
s22;s21/10;s22/10;s23/10;s22/10;s19/10;s22/10;s16/10;s22/10;s10/10
s23;s21/10;s22/10;s23/10;s23/10;s20/10;s23/10;s17/10;s23/10;s11/10
